asset,density
0.000000,0.004833
0.100200,0.000537
0.200401,0.000597
0.300601,0.000663
0.400802,0.000737
0.501002,0.000819
0.601202,0.001339
0.701403,0.000415
0.801603,0.000636
0.901804,0.000461
1.002004,0.000706
1.102204,0.000511
1.202405,0.001165
1.302605,0.000552
1.402806,0.000816
1.503006,0.000608
1.603206,0.000898
1.703407,0.000669
1.803607,0.001327
1.903808,0.000722
2.004008,0.001159
2.104208,0.000838
2.204409,0.001084
2.304609,0.001213
2.404810,0.001179
2.505010,0.001051
2.605210,0.001332
2.705411,0.000973
2.805611,0.001115
2.905812,0.000831
3.006012,0.001171
3.106212,0.000896
3.206413,0.000896
3.306613,0.001364
3.406814,0.000890
3.507014,0.001063
3.607214,0.001196
3.707415,0.000954
3.807615,0.001222
3.907816,0.001224
4.008016,0.001109
4.108216,0.001058
4.208417,0.001318
4.308617,0.001256
4.408818,0.001067
4.509018,0.001497
4.609218,0.001113
4.709419,0.001133
4.809619,0.001670
4.909820,0.001127
5.010020,0.001271
5.110220,0.001589
5.210421,0.001193
5.310621,0.001401
5.410822,0.001655
5.511022,0.001322
5.611222,0.001299
5.711423,0.001772
5.811623,0.001443
5.911824,0.001325
6.012024,0.001952
6.112224,0.001357
6.212425,0.001392
6.312625,0.002129
6.412826,0.001387
6.513026,0.001510
6.613226,0.002129
6.713427,0.001453
6.813627,0.001618
6.913828,0.002241
7.014028,0.001564
7.114228,0.001561
7.214429,0.002395
7.314629,0.001667
7.414830,0.001598
7.515030,0.002598
7.615230,0.001621
7.715431,0.001663
7.815631,0.002804
7.915832,0.001661
8.016032,0.001763
8.116232,0.002890
8.216433,0.001726
8.316633,0.001853
8.416834,0.003066
8.517034,0.001821
8.617234,0.001824
8.717435,0.001782
8.817635,0.002304
8.917836,0.001896
9.018036,0.001820
9.118236,0.001897
9.218437,0.002261
9.318637,0.001964
9.418838,0.001886
9.519038,0.001901
9.619238,0.002416
9.719439,0.001888
9.819639,0.001946
9.919840,0.001969
10.020040,0.002478
10.120240,0.001985
10.220441,0.001877
10.320641,0.002031
10.420842,0.002603
10.521042,0.001992
10.621242,0.001961
10.721443,0.001979
10.821643,0.002728
10.921844,0.002048
11.022044,0.001965
11.122244,0.002065
11.222445,0.002759
11.322645,0.002098
11.422846,0.002012
11.523046,0.002080
11.623246,0.003816
11.723447,0.002097
11.823647,0.002012
11.923848,0.002111
12.024048,0.003786
12.124248,0.002096
12.224449,0.002012
12.324649,0.002142
12.424850,0.003756
12.525050,0.002095
12.625251,0.002012
12.725451,0.002172
12.825651,0.003727
12.925852,0.002094
13.026052,0.002012
13.126253,0.002203
13.226453,0.003697
13.326653,0.002093
13.426854,0.002012
13.527054,0.002234
13.627255,0.003667
13.727455,0.002092
13.827655,0.002013
13.927856,0.002265
14.028056,0.003637
14.128257,0.002091
14.228457,0.002013
14.328657,0.002295
14.428858,0.003608
14.529058,0.002090
14.629259,0.002013
14.729459,0.002326
14.829659,0.003578
14.929860,0.002089
15.030060,0.002013
15.130261,0.002357
15.230461,0.003548
15.330661,0.002088
15.430862,0.002013
15.531062,0.002388
15.631263,0.003519
15.731463,0.002087
15.831663,0.002013
15.931864,0.002418
16.032064,0.003489
16.132265,0.002086
16.232465,0.002013
16.332665,0.002449
16.432866,0.003459
16.533066,0.002085
16.633267,0.002014
16.733467,0.002480
16.833667,0.003429
16.933868,0.002084
17.034068,0.002014
17.134269,0.002510
17.234469,0.003400
17.334669,0.002083
17.434870,0.002014
17.535070,0.002541
17.635271,0.003370
17.735471,0.002082
17.835671,0.002014
17.935872,0.002572
18.036072,0.003340
18.136273,0.002081
18.236473,0.002014
18.336673,0.002603
18.436874,0.003311
18.537074,0.002080
18.637275,0.002014
18.737475,0.002633
18.837675,0.003281
18.937876,0.002079
19.038076,0.002014
19.138277,0.002664
19.238477,0.003251
19.338677,0.002078
19.438878,0.002014
19.539078,0.002695
19.639279,0.003222
19.739479,0.002077
19.839679,0.002015
19.939880,0.002725
20.040080,0.003192
20.140281,0.002076
20.240481,0.002015
20.340681,0.002756
20.440882,0.003162
20.541082,0.002075
20.641283,0.002015
20.741483,0.002787
20.841683,0.003133
20.941884,0.002075
21.042084,0.002015
21.142285,0.002818
21.242485,0.003103
21.342685,0.002074
21.442886,0.002015
21.543086,0.002848
21.643287,0.003073
21.743487,0.002073
21.843687,0.002015
21.943888,0.002879
22.044088,0.003044
22.144289,0.002072
22.244489,0.002015
22.344689,0.002910
22.444890,0.003014
22.545090,0.002071
22.645291,0.002016
22.745491,0.002941
22.845691,0.002984
22.945892,0.002070
23.046092,0.002016
23.146293,0.002971
23.246493,0.002955
23.346693,0.002069
23.446894,0.002016
23.547094,0.003002
23.647295,0.002925
23.747495,0.002068
23.847695,0.002016
23.947896,0.003033
24.048096,0.002895
24.148297,0.002067
24.248497,0.002016
24.348697,0.003063
24.448898,0.002866
24.549098,0.002066
24.649299,0.002016
24.749499,0.003094
24.849699,0.002836
24.949900,0.002065
25.050100,0.002016
25.150301,0.003125
25.250501,0.002806
25.350701,0.002064
25.450902,0.002016
25.551102,0.003156
25.651303,0.002777
25.751503,0.002063
25.851703,0.002017
25.951904,0.003186
26.052104,0.002747
26.152305,0.002062
26.252505,0.002017
26.352705,0.003217
26.452906,0.002717
26.553106,0.002061
26.653307,0.002017
26.753507,0.003248
26.853707,0.002688
26.953908,0.002060
27.054108,0.002017
27.154309,0.003278
27.254509,0.002658
27.354709,0.002059
27.454910,0.002017
27.555110,0.003309
27.655311,0.002628
27.755511,0.002058
27.855711,0.002017
27.955912,0.003340
28.056112,0.002599
28.156313,0.002057
28.256513,0.002017
28.356713,0.003371
28.456914,0.002569
28.557114,0.002056
28.657315,0.002018
28.757515,0.003401
28.857715,0.002539
28.957916,0.002055
29.058116,0.002018
29.158317,0.003432
29.258517,0.002510
29.358717,0.002054
